,1 1 -0.0007 -0.0004 100.0 518.67 641.82 1589.70 1400.60 14.62 21.61 554.36 2388.06 9046.19 1.30 47.47 521.66 2388.02 8138.62 8.4195 0.03 392 2388 100.00 39.06 23.4190  
13955,69 326 0.0004 -0.0003 100.0 518.67 643.35 1593.28 1421.79 14.62 21.61 551.84 2388.25 9058.01 1.30 47.90 520.54 2388.25 8134.76 8.5149 0.03 397 2388 100.00 38.57 23.1198  
13956,69 327 0.0033 0.0002 100.0 518.67 643.01 1600.45 1424.25 14.62 21.61 552.30 2388.20 9063.22 1.30 47.87 520.13 2388.21 8129.90 8.4909 0.03 394 2388 100.00 38.50 23.1358  
13957,69 328 0.0004 -0.0001 100.0 518.67 643.38 1597.37 1425.58 14.62 21.61 552.46 2388.18 9060.35 1.30 47.84 519.99 2388.16 8135.29 8.4578 0.03 395 2388 100.00 38.62 23.0971  
13958,69 329 0.0022 -0.0001 100.0 518.67 643.10 1598.81 1426.96 14.62 21.61 551.79 2388.18 9056.36 1.30 48.04 520.50 2388.20 8135.63 8.5046 0.03 393 2388 100.00 38.53 23.1994  
13959,69 330 0.0010 0.0003 100.0 518.67 643.34 1599.07 1428.11 14.62 21.61 551.86 2388.23 9064.14 1.30 47.81 520.08 2388.24 8137.72 8.5013 0.03 396 2388 100.00 38.52 23.2652  
13960,69 331 -0.0014 0.0005 100.0 518.67 643.28 1591.95 1431.51 14.62 21.61 552.15 2388.20 9064.84 1.30 47.89 520.63 2388.22 8133.73 8.4914 0.03 393 2388 100.00 38.62 23.1280  
13961,69 332 0.0017 0.0004 100.0 518.67 643.25 1602.31 1425.43 14.62 21.61 551.19 2388.22 9052.30 1.30 47.98 520.17 2388.18 8133.40 8.4862 0.03 395 2388 100.00 38.54 23.0229  
13962,69 333 0.0029 0.0003 100.0 518.67 642.84 1592.72 1423.86 14.62 21.61 551.70 2388.22 9060.89 1.30 48.06 520.14 2388.21 8136.27 8.4899 0.03 396 2388 100.00 38.56 23.0886  
13963,69 334 0.0029 0.0002 100.0 518.67 644.16 1602.95 1423.27 14.62 21.61 552.10 2388.20 9045.19 1.30 48.06 519.80 2388.25 8132.10 8.4869 0.03 395 2388 100.00 38.52 23.1171  
13964,69 335 -0.0000 0.0003 100.0 518.67 643.17 1592.32 1421.65 14.62 21.61 551.66 2388.23 9062.78 1.30 47.94 520.47 2388.22 8135.78 8.4707 0.03 396 2388 100.00 38.64 23.2003  
13965,69 336 0.0013 -0.0003 100.0 518.67 644.19 1604.62 1427.29 14.62 21.61 551.70 2388.26 9051.64 1.30 47.97 520.64 2388.21 8129.35 8.5022 0.03 395 2388 100.00 38.68 23.1434  
13966,69 337 -0.0054 -0.0004 100.0 518.67 643.85 1597.91 1422.25 14.62 21.61 552.13 2388.27 9058.21 1.30 47.90 520.20 2388.22 8133.44 8.4705 0.03 394 2388 100.00 38.44 23.2252  
13967,69 338 0.0022 0.0002 100.0 518.67 643.59 1599.31 1423.03 14.62 21.61 552.64 2388.25 9058.88 1.30 48.08 519.55 2388.22 8130.13 8.4991 0.03 395 2388 100.00 38.42 23.0883  
13968,69 339 -0.0000 -0.0004 100.0 518.67 643.77 1589.96 1419.72 14.62 21.61 552.35 2388.27 9052.69 1.30 48.02 520.44 2388.24 8136.71 8.4823 0.03 395 2388 100.00 38.34 23.1280  
13969,69 340 -0.0047 -0.0001 100.0 518.67 643.45 1589.69 1422.42 14.62 21.61 551.01 2388.26 9059.05 1.30 48.16 519.87 2388.33 8128.67 8.4924 0.03 397 2388 100.00 38.49 23.0744  
13970,69 341 -0.0006 -0.0003 100.0 518.67 643.11 1599.62 1416.40 14.62 21.61 551.90 2388.22 9054.92 1.30 48.27 519.99 2388.27 8135.79 8.5267 0.03 395 2388 100.00 38.47 23.0902  
13971,69 342 -0.0012 -0.0003 100.0 518.67 642.68 1597.54 1423.81 14.62 21.61 551.05 2388.22 9064.75 1.30 48.23 519.71 2388.22 8130.43 8.5047 0.03 395 2388 100.00 38.46 23.1672  
13972,69 343 -0.0012 0.0005 100.0 518.67 644.11 1604.22 1424.69 14.62 21.61 551.72 2388.24 9060.21 1.30 47.89 519.92 2388.21 8131.95 8.4996 0.03 396 2388 100.00 38.66 23.0685  
13973,69 344 -0.0031 0.0003 100.0 518.67 643.52 1596.48 1422.50 14.62 21.61 551.89 2388.20 9051.62 1.30 48.09 520.02 2388.27 8129.23 8.5404 0.03 396 2388 100.00 38.54 23.0243  
13974,69 345 0.0003 0.0002 100.0 518.67 643.97 1607.97 1426.21 14.62 21.61 551.35 2388.28 9059.46 1.30 48.08 519.47 2388.20 8128.13 8.5109 0.03 397 2388 100.00 38.59 23.1089  
13975,69 346 0.0022 -0.0000 100.0 518.67 643.91 1598.91 1427.02 14.62 21.61 551.71 2388.22 9051.77 1.30 47.91 519.92 2388.22 8130.69 8.5419 0.03 396 2388 100.00 38.43 23.1419  
13976,69 347 -0.0031 0.0002 100.0 518.67 643.71 1602.48 1431.40 14.62 21.61 551.77 2388.22 9062.12 1.30 48.11 520.15 2388.22 8129.63 8.5209 0.03 394 2388 100.00 38.65 23.0814  
13977,69 348 0.0006 -0.0003 100.0 518.67 643.45 1599.49 1427.13 14.62 21.61 551.18 2388.29 9045.07 1.30 48.23 520.11 2388.24 8132.81 8.5353 0.03 395 2388 100.00 38.45 23.1088  
13978,69 349 -0.0001 0.0004 100.0 518.67 643.34 1594.56 1428.26 14.62 21.61 551.64 2388.25 9060.96 1.30 47.95 520.02 2388.23 8132.11 8.5139 0.03 396 2388 100.00 38.43 23.1692  
13979,69 350 0.0023 0.0005 100.0 518.67 643.64 1601.57 1422.02 14.62 21.61 551.05 2388.27 9055.54 1.30 48.10 519.95 2388.26 8133.12 8.5011 0.03 395 2388 100.00 38.34 23.0312  
13980,69 351 -0.0013 -0.0000 100.0 518.67 643.18 1595.07 1433.34 14.62 21.61 551.12 2388.26 9052.00 1.30 48.25 519.75 2388.26 8134.02 8.5193 0.03 396 2388 100.00 38.42 23.1454  
13981,69 352 -0.0025 -0.0001 100.0 518.67 643.59 1593.90 1422.75 14.62 21.61 551.98 2388.29 9058.81 1.30 48.04 519.20 2388.26 8125.82 8.5017 0.03 396 2388 100.00 38.60 23.1241  
13982,69 353 0.0028 -0.0001 100.0 518.67 643.73 1598.88 1425.36 14.62 21.61 551.97 2388.25 9056.35 1.30 47.93 519.74 2388.27 8135.64 8.5380 0.03 396 2388 100.00 38.44 23.1361  
13983,69 354 0.0015 0.0001 100.0 518.67 643.66 1606.28 1430.15 14.62 21.61 550.34 2388.25 9057.35 1.30 48.16 519.84 2388.21 8134.22 8.5193 0.03 394 2388 100.00 38.30 23.0443  
13984,69 355 0.0011 0.0002 100.0 518.67 643.34 1593.05 1425.27 14.62 21.61 551.62 2388.24 9055.71 1.30 48.24 519.99 2388.25 8132.12 8.5279 0.03 395 2388 100.00 38.50 22.9635  
13985,69 356 0.0021 -0.0000 100.0 518.67 643.19 1605.11 1428.43 14.62 21.61 551.02 2388.25 9056.07 1.30 48.12 519.85 2388.27 8133.55 8.5208 0.03 396 2388 100.00 38.43 23.0768  
13986,69 357 0.0006 0.0002 100.0 518.67 643.86 1601.80 1428.18 14.62 21.61 550.53 2388.25 9062.01 1.30 48.30 519.58 2388.26 8128.06 8.5572 0.03 396 2388 100.00 38.56 23.1233  
13987,69 358 0.0040 -0.0002 100.0 518.67 643.74 1609.53 1428.26 14.62 21.61 551.60 2388.20 9053.75 1.30 48.28 520.31 2388.26 8129.59 8.5460 0.03 397 2388 100.00 38.53 23.0549  
13988,69 359 0.0013 0.0003 100.0 518.67 643.46 1603.83 1429.82 14.62 21.61 551.62 2388.28 9056.81 1.30 48.13 519.86 2388.27 8131.20 8.5116 0.03 396 2388 100.00 38.28 23.0610  
13989,69 360 0.0004 -0.0001 100.0 518.67 643.97 1597.75 1428.85 14.62 21.61 551.32 2388.31 9058.88 1.30 48.14 518.69 2388.26 8126.63 8.5059 0.03 396 2388 100.00 38.47 23.0422  
13990,69 361 0.0016 -0.0002 100.0 518.67 643.65 1603.50 1433.95 14.62 21.61 551.13 2388.29 9055.52 1.30 48.09 520.48 2388.32 8132.97 8.5270 0.03 396 2388 100.00 38.52 23.1208  
13991,69 362 0.0007 -0.0000 100.0 518.67 643.75 1598.16 1428.28 14.62 21.61 551.55 2388.31 9054.19 1.30 48.02 519.12 2388.33 8124.27 8.5126 0.03 397 2388 100.00 38.42 22.9782  
13992,70 1 0.0021 0.0001 100.0 518.67 642.26 1588.45 1400.02 14.62 21.61 552.94 2388.09 9065.41 1.30 47.61 521.18 2388.07 8138.06 8.4300 0.03 392 2388 100.00 38.81 23.4180  
13993,70 2 -0.0009 0.0004 100.0 518.67 642.59 1590.00 1407.22 14.62 21.61 552.50 2388.11 9059.25 1.30 47.48 522.08 2388.12 8134.76 8.4447 0.03 394 2388 100.00 38.79 23.3135  
13994,70 3 -0.0008 -0.0000 100.0 518.67 642.82 1586.05 1408.64 14.62 21.61 553.75 2388.09 9063.08 1.30 47.45 521.93 2388.03 8140.84 8.4202 0.03 392 2388 100.00 38.87 23.4140  
13995,70 4 0.0005 -0.0005 100.0 518.67 642.24 1591.24 1398.32 14.62 21.61 553.56 2388.09 9057.79 1.30 47.52 521.85 2388.05 8137.74 8.4472 0.03 393 2388 100.00 38.91 23.2512  
13996,70 5 -0.0005 -0.0004 100.0 518.67 642.32 1580.76 1399.39 14.62 21.61 554.21 2388.04 9059.36 1.30 47.43 521.60 2388.08 8136.12 8.4073 0.03 391 2388 100.00 39.02 23.3361  
13997,70 6 -0.0042 -0.0002 100.0 518.67 642.43 1582.35 1402.19 14.62 21.61 554.30 2388.07 9052.55 1.30 47.47 521.32 2388.08 8145.12 8.4223 0.03 392 2388 100.00 39.02 23.3396  
13998,70 7 -0.0003 0.0003 100.0 518.67 642.54 1583.29 1394.98 14.62 21.61 553.55 2388.07 9054.04 1.30 47.44 521.24 2388.12 8136.22 8.3992 0.03 393 2388 100.00 38.75 23.4152  
13999,70 8 0.0046 -0.0004 100.0 518.67 642.39 1590.11 1400.12 14.62 21.61 553.20 2388.03 9058.59 1.30 47.39 521.89 2388.05 8140.04 8.4073 0.03 392 2388 100.00 38.91 23.2867  
14000,70 9 0.0030 -0.0005 100.0 518.67 642.85 1577.69 1402.84 14.62 21.61 553.31 2388.05 9062.32 1.30 47.26 521.76 2388.08 8140.31 8.4612 0.03 394 2388 100.00 38.90 23.2371  
14001,70 10 0.0005 -0.0001 100.0 518.67 642.14 1587.30 1402.78 14.62 21.61 553.16 2388.02 9049.30 1.30 47.24 521.34 2388.04 8140.03 8.3876 0.03 392 2388 100.00 39.00 23.3742  
14002,70 11 -0.0058 -0.0004 100.0 518.67 642.39 1590.12 1403.65 14.62 21.61 554.57 2388.10 9060.60 1.30 47.59 521.60 2388.03 8141.21 8.4491 0.03 391 2388 100.00 38.72 23.3579  
14003,70 12 0.0022 -0.0005 100.0 518.67 642.60 1591.68 1406.19 14.62 21.61 553.79 2388.12 9056.45 1.30 47.44 521.62 2388.06 8141.34 8.3978 0.03 392 2388 100.00 39.08 23.2246  
14004,70 13 -0.0014 0.0004 100.0 518.67 642.49 1584.61 1398.07 14.62 21.61 553.15 2388.09 9059.63 1.30 47.32 521.55 2388.09 8140.87 8.4428 0.03 394 2388 100.00 38.76 23.2856  
14005,70 14 -0.0018 0.0004 100.0 518.67 642.68 1577.93 1406.18 14.62 21.61 553.60 2388.11 9057.35 1.30 47.25 521.89 2388.05 8140.26 8.4416 0.03 392 2388 100.00 38.83 23.3618  
14006,70 15 0.0030 -0.0004 100.0 518.67 642.01 1593.14 1409.02 14.62 21.61 553.97 2388.05 9060.71 1.30 47.54 521.43 2388.04 8142.74 8.4113 0.03 393 2388 100.00 38.73 23.3824  
14007,70 16 -0.0012 0.0004 100.0 518.67 642.04 1585.98 1410.03 14.62 21.61 553.85 2388.06 9055.50 1.30 47.52 521.55 2388.11 8138.40 8.4516 0.03 393 2388 100.00 38.95 23.4899  
14008,70 17 -0.0001 0.0002 100.0 518.67 642.74 1593.04 1397.88 14.62 21.61 553.39 2388.10 9062.04 1.30 47.60 521.57 2388.06 8141.62 8.4469 0.03 394 2388 100.00 38.88 23.3134  
14009,70 18 -0.0002 0.0002 100.0 518.67 642.34 1597.82 1402.10 14.62 21.61 554.66 2388.04 9054.36 1.30 47.41 521.42 2388.07 8137.34 8.4281 0.03 392 2388 100.00 38.73 23.2929  
14010,70 19 0.0038 0.0001 100.0 518.67 642.44 1588.83 1405.77 14.62 21.61 553.86 2388.10 9061.15 1.30 47.49 521.83 2388.04 8138.63 8.4449 0.03 393 2388 100.00 38.81 23.4150  
14011,70 20 -0.0024 -0.0004 100.0 518.67 642.20 1588.67 1399.98 14.62 21.61 554.39 2388.05 9052.92 1.30 47.31 522.18 2388.07 8140.45 8.4112 0.03 393 2388 100.00 38.87 23.3870  
14012,70 21 -0.0019 -0.0002 100.0 518.67 642.45 1585.11 1399.80 14.62 21.61 553.99 2388.05 9063.67 1.30 47.29 521.93 2388.06 8142.48 8.4413 0.03 392 2388 100.00 38.88 23.3168  
14013,70 22 0.0033 -0.0002 100.0 518.67 642.95 1591.54 1401.68 14.62 21.61 553.60 2388.08 9058.57 1.30 47.42 522.36 2388.12 8149.32 8.4137 0.03 393 2388 100.00 38.93 23.3991  
14014,70 23 0.0011 -0.0000 100.0 518.67 642.27 1583.38 1402.88 14.62 21.61 552.58 2388.07 9053.73 1.30 47.45 521.88 2388.06 8139.81 8.4397 0.03 396 2388 100.00 38.87 23.3694  
14015,70 24 -0.0010 0.0003 100.0 518.67 642.60 1590.89 1403.75 14.62 21.61 553.74 2388.04 9063.33 1.30 47.34 521.12 2388.02 8137.70 8.4395 0.03 392 2388 100.00 38.99 23.3001  
14016,70 25 0.0000 -0.0001 100.0 518.67 642.88 1585.10 1406.10 14.62 21.61 554.08 2388.05 9065.93 1.30 47.34 521.45 2388.10 8142.90 8.4418 0.03 394 2388 100.00 38.96 23.3368  
14017,70 26 -0.0034 -0.0005 100.0 518.67 642.01 1584.22 1400.67 14.62 21.61 553.48 2388.06 9057.13 1.30 47.54 522.15 2388.09 8143.46 8.4692 0.03 393 2388 100.00 38.99 23.2544  
14018,70 27 -0.0020 -0.0001 100.0 518.67 642.60 1585.96 1402.31 14.62 21.61 553.96 2388.06 9058.97 1.30 47.39 521.72 2388.04 8142.78 8.4261 0.03 394 2388 100.00 38.88 23.3180  
14019,70 28 -0.0015 -0.0003 100.0 518.67 642.63 1595.78 1414.50 14.62 21.61 554.00 2388.08 9064.32 1.30 47.69 521.57 2388.04 8142.09 8.4058 0.03 393 2388 100.00 38.84 23.2330  
14020,70 29 -0.0002 0.0003 100.0 518.67 642.30 1585.03 1398.05 14.62 21.61 553.75 2388.07 9055.30 1.30 47.31 521.96 2388.08 8136.39 8.4260 0.03 393 2388 100.00 38.86 23.2497  
14021,70 30 0.0035 -0.0005 100.0 518.67 642.24 1587.35 1404.65 14.62 21.61 554.51 2388.06 9055.94 1.30 47.66 521.41 2388.05 8139.25 8.4254 0.03 393 2388 100.00 38.85 23.3391  
14022,70 31 -0.0013 -0.0001 100.0 518.67 642.09 1588.25 1402.64 14.62 21.61 553.55 2388.09 9058.46 1.30 47.13 521.67 2388.02 8136.94 8.4026 0.03 394 2388 100.00 38.87 23.3706  
14023,70 32 0.0019 0.0001 100.0 518.67 642.08 1593.15 1407.46 14.62 21.61 554.07 2388.08 9066.80 1.30 47.38 521.97 2388.04 8135.76 8.4255 0.03 393 2388 100.00 38.88 23.2503  
14024,70 33 0.0038 -0.0004 100.0 518.67 642.72 1593.15 1403.41 14.62 21.61 553.71 2388.02 9060.73 1.30 47.44 520.97 2388.05 8148.16 8.3948 0.03 395 2388 100.00 38.79 23.2978  
14025,70 34 -0.0013 -0.0005 100.0 518.67 642.33 1588.77 1405.29 14.62 21.61 553.91 2388.09 9055.98 1.30 47.44 521.32 2388.12 8141.99 8.3882 0.03 393 2388 100.00 38.89 23.3954  
14026,70 35 -0.0056 -0.0003 100.0 518.67 642.18 1593.21 1406.66 14.62 21.61 553.53 2388.06 9068.78 1.30 47.48 521.59 2388.09 8140.61 8.4356 0.03 392 2388 100.00 38.83 23.3955  
14027,70 36 0.0025 0.0001 100.0 518.67 642.70 1586.56 1401.61 14.62 21.61 554.39 2388.10 9064.54 1.30 47.51 521.50 2388.06 8141.45 8.3990 0.03 391 2388 100.00 38.92 23.3391  
14028,70 37 0.0009 0.0002 100.0 518.67 642.16 1585.26 1402.85 14.62 21.61 552.96 2388.09 9062.16 1.30 47.40 521.25 2388.03 8139.40 8.4246 0.03 392 2388 100.00 38.80 23.3280  
14029,70 38 0.0011 -0.0005 100.0 518.67 643.02 1582.33 1406.50 14.62 21.61 553.49 2388.14 9067.93 1.30 47.48 522.16 2388.06 8141.72 8.4190 0.03 393 2388 100.00 38.79 23.3434  
14030,70 39 -0.0041 0.0003 100.0 518.67 642.17 1592.36 1411.81 14.62 21.61 553.81 2388.06 9070.76 1.30 47.34 521.46 2388.08 8140.38 8.4603 0.03 394 2388 100.00 38.90 23.3002  
14031,70 40 -0.0019 -0.0002 100.0 518.67 642.44 1585.76 1403.26 14.62 21.61 554.14 2388.11 9054.79 1.30 47.47 521.72 2388.12 8135.73 8.4497 0.03 392 2388 100.00 38.81 23.4010  
14032,70 41 -0.0003 0.0004 100.0 518.67 642.72 1592.16 1403.48 14.62 21.61 553.64 2388.10 9061.48 1.30 47.41 522.39 2388.05 8140.24 8.4312 0.03 393 2388 100.00 38.86 23.2675  
14033,70 42 0.0016 0.0002 100.0 518.67 642.12 1581.07 1404.24 14.62 21.61 553.64 2388.08 9062.71 1.30 47.37 521.80 2388.08 8141.96 8.4318 0.03 394 2388 100.00 39.04 23.3231  
14034,70 43 0.0048 -0.0004 100.0 518.67 642.88 1583.12 1400.31 14.62 21.61 553.37 2388.08 9053.02 1.30 47.36 521.47 2388.09 8139.84 8.4191 0.03 393 2388 100.00 39.10 23.3145  
14035,70 44 -0.0004 0.0004 100.0 518.67 642.49 1587.92 1406.33 14.62 21.61 553.65 2388.07 9060.44 1.30 47.40 521.93 2388.07 8139.94 8.4028 0.03 392 2388 100.00 38.89 23.3264  
14036,70 45 0.0003 -0.0003 100.0 518.67 642.38 1595.01 1411.33 14.62 21.61 553.26 2388.04 9064.89 1.30 47.44 521.66 2388.04 8136.24 8.4106 0.03 394 2388 100.00 38.81 23.3484  
14037,70 46 0.0038 -0.0003 100.0 518.67 642.89 1581.00 1399.87 14.62 21.61 553.56 2388.07 9056.85 1.30 47.36 521.54 2388.06 8134.95 8.4595 0.03 393 2388 100.00 38.89 23.3055  
14038,70 47 -0.0008 -0.0005 100.0 518.67 642.38 1587.43 1409.08 14.62 21.61 553.47 2388.08 9061.73 1.30 47.69 520.95 2388.11 8136.43 8.4365 0.03 393 2388 100.00 38.95 23.2599  
14039,70 48 -0.0009 -0.0002 100.0 518.67 642.89 1589.04 1405.39 14.62 21.61 553.83 2388.07 9059.79 1.30 47.50 521.42 2388.06 8144.33 8.4039 0.03 393 2388 100.00 38.84 23.3366  
14040,70 49 -0.0008 0.0000 100.0 518.67 642.68 1581.38 1400.93 14.62 21.61 553.51 2388.07 9060.26 1.30 47.43 521.35 2388.09 8131.34 8.4548 0.03 392 2388 100.00 38.84 23.2824  
14041,70 50 -0.0007 0.0001 100.0 518.67 642.66 1591.05 1399.28 14.62 21.61 553.91 2388.10 9063.27 1.30 47.32 521.97 2388.12 8139.12 8.4348 0.03 393 2388 100.00 38.84 23.2789  
14042,70 51 0.0014 -0.0003 100.0 518.67 642.95 1593.28 1412.50 14.62 21.61 553.96 2388.09 9055.95 1.30 47.47 521.73 2388.04 8140.98 8.4163 0.03 393 2388 100.00 38.76 23.3515  
14043,70 52 -0.0021 -0.0005 100.0 518.67 642.73 1588.49 1403.69 14.62 21.61 553.66 2388.14 9063.00 1.30 47.51 521.97 2388.10 8140.64 8.4631 0.03 392 2388 100.00 38.78 23.3635  
14044,70 53 0.0041 0.0001 100.0 518.67 642.18 1593.61 1399.19 14.62 21.61 554.21 2388.10 9067.26 1.30 47.41 521.19 2388.06 8144.18 8.4103 0.03 391 2388 100.00 38.90 23.2632  
14045,70 54 0.0008 0.0001 100.0 518.67 642.45 1592.93 1414.05 14.62 21.61 553.45 2388.04 9061.11 1.30 47.45 521.95 2388.08 8142.31 8.4213 0.03 393 2388 100.00 38.82 23.2546  
14046,70 55 -0.0037 -0.0001 100.0 518.67 642.71 1593.25 1399.43 14.62 21.61 554.61 2388.09 9057.79 1.30 47.57 522.08 2388.11 8138.63 8.4232 0.03 392 2388 100.00 38.87 23.3397  
14047,70 56 0.0048 -0.0004 100.0 518.67 642.76 1591.80 1404.89 14.62 21.61 552.86 2388.07 9060.01 1.30 47.48 521.56 2388.11 8134.20 8.4333 0.03 393 2388 100.00 38.83 23.3050  
14048,70 57 -0.0003 -0.0004 100.0 518.67 642.66 1593.98 1402.92 14.62 21.61 553.18 2388.12 9062.01 1.30 47.44 521.97 2388.10 8147.12 8.4350 0.03 393 2388 100.00 38.89 23.3077  
14049,70 58 -0.0002 -0.0001 100.0 518.67 642.93 1588.08 1404.67 14.62 21.61 552.83 2388.10 9060.85 1.30 47.67 521.55 2388.15 8142.59 8.4591 0.03 393 2388 100.00 38.81 23.2730  
14050,70 59 0.0005 0.0000 100.0 518.67 642.79 1587.81 1402.69 14.62 21.61 553.62 2388.07 9056.60 1.30 47.37 521.54 2388.07 8137.98 8.4316 0.03 392 2388 100.00 39.00 23.3018  
14051,70 60 0.0038 -0.0003 100.0 518.67 641.99 1588.09 1413.36 14.62 21.61 553.52 2388.06 9061.99 1.30 47.47 520.89 2388.04 8145.78 8.4346 0.03 394 2388 100.00 38.88 23.3497  
14052,70 61 0.0009 0.0000 100.0 518.67 642.67 1591.12 1405.99 14.62 21.61 553.28 2388.05 9064.82 1.30 47.33 521.53 2388.11 8142.02 8.4537 0.03 391 2388 100.00 38.96 23.4643  
14053,70 62 0.0014 -0.0004 100.0 518.67 642.52 1592.28 1415.45 14.62 21.61 553.40 2388.10 9060.35 1.30 47.47 521.58 2388.08 8141.16 8.4116 0.03 394 2388 100.00 38.94 23.3304  
14054,70 63 0.0022 0.0000 100.0 518.67 642.07 1596.38 1404.79 14.62 21.61 553.54 2388.08 9061.58 1.30 47.64 521.62 2388.08 8137.32 8.4399 0.03 393 2388 100.00 39.12 23.3178  
14055,70 64 0.0043 -0.0004 100.0 518.67 642.35 1588.10 1414.66 14.62 21.61 552.71 2388.08 9062.98 1.30 47.62 521.29 2388.13 8137.52 8.4412 0.03 393 2388 100.00 38.88 23.3668  
14056,70 65 0.0043 -0.0004 100.0 518.67 642.31 1581.73 1404.08 14.62 21.61 553.61 2388.06 9062.05 1.30 47.46 521.63 2388.07 8143.40 8.4314 0.03 394 2388 100.00 38.90 23.3583  
14057,70 66 -0.0013 0.0003 100.0 518.67 642.45 1590.07 1418.84 14.62 21.61 553.44 2388.06 9058.13 1.30 47.58 521.81 2388.10 8145.51 8.4242 0.03 393 2388 100.00 38.87 23.3148  
14058,70 67 0.0008 0.0001 100.0 518.67 643.05 1589.46 1407.97 14.62 21.61 553.48 2388.06 9065.02 1.30 47.39 521.46 2388.05 8140.76 8.4314 0.03 393 2388 100.00 38.77 23.3704  
14059,70 68 -0.0011 -0.0005 100.0 518.67 642.51 1589.06 1409.91 14.62 21.61 553.04 2388.07 9064.65 1.30 47.47 521.10 2388.08 8143.00 8.4409 0.03 393 2388 100.00 38.80 23.2743  
14060,70 69 0.0032 -0.0001 100.0 518.67 642.64 1593.68 1408.24 14.62 21.61 553.55 2388.11 9067.75 1.30 47.27 521.69 2388.06 8143.05 8.4170 0.03 394 2388 100.00 38.77 23.3108  
14061,70 70 0.0014 -0.0000 100.0 518.67 642.35 1588.16 1411.22 14.62 21.61 553.15 2388.13 9065.34 1.30 47.58 521.27 2388.09 8152.06 8.4603 0.03 393 2388 100.00 38.82 23.2694  
14062,70 71 0.0055 0.0001 100.0 518.67 642.40 1586.97 1407.59 14.62 21.61 553.50 2388.07 9060.85 1.30 47.64 521.32 2388.07 8138.64 8.4413 0.03 394 2388 100.00 38.75 23.3585  
14063,70 72 -0.0023 0.0003 100.0 518.67 642.58 1590.18 1416.18 14.62 21.61 553.04 2388.10 9057.35 1.30 47.65 521.35 2388.07 8144.70 8.4455 0.03 393 2388 100.00 38.87 23.2587  
14064,70 73 0.0013 -0.0003 100.0 518.67 642.95 1590.00 1406.83 14.62 21.61 553.96 2388.10 9064.18 1.30 47.36 521.05 2388.06 8147.65 8.4773 0.03 394 2388 100.00 38.73 23.2027  
14065,70 74 0.0004 0.0002 100.0 518.67 642.73 1587.90 1415.30 14.62 21.61 552.76 2388.07 9063.95 1.30 47.53 522.26 2388.12 8143.11 8.4129 0.03 393 2388 100.00 38.73 23.3053  
14066,70 75 -0.0019 -0.0001 100.0 518.67 642.40 1587.10 1411.15 14.62 21.61 554.14 2388.11 9070.38 1.30 47.50 521.31 2388.12 8140.27 8.4514 0.03 393 2388 100.00 38.87 23.2519  
14067,70 76 0.0033 0.0002 100.0 518.67 642.72 1588.83 1405.55 14.62 21.61 553.03 2388.05 9064.91 1.30 47.62 521.93 2388.09 8148.52 8.4114 0.03 394 2388 100.00 38.79 23.2899  
14068,70 77 -0.0017 0.0004 100.0 518.67 642.60 1595.60 1411.58 14.62 21.61 553.56 2388.08 9059.58 1.30 47.50 521.51 2388.07 8143.14 8.4291 0.03 394 2388 100.00 38.73 23.3028  
14069,70 78 -0.0037 -0.0000 100.0 518.67 642.52 1592.75 1411.55 14.62 21.61 553.20 2388.07 9071.16 1.30 47.37 521.86 2388.05 8146.17 8.4225 0.03 394 2388 100.00 38.75 23.2460  
14070,70 79 -0.0007 -0.0004 100.0 518.67 642.64 1592.64 1402.89 14.62 21.61 553.41 2388.06 9071.46 1.30 47.47 521.52 2388.14 8141.85 8.4397 0.03 392 2388 100.00 38.91 23.4019  
14071,70 80 0.0017 0.0002 100.0 518.67 642.16 1581.81 1407.59 14.62 21.61 553.65 2388.10 9069.13 1.30 47.62 521.08 2388.11 8144.07 8.4190 0.03 392 2388 100.00 38.83 23.3113  
14072,70 81 -0.0011 0.0001 100.0 518.67 642.96 1591.52 1408.40 14.62 21.61 553.22 2388.07 9065.33 1.30 47.52 521.62 2388.15 8144.12 8.4468 0.03 393 2388 100.00 38.87 23.2215  
14073,70 82 0.0026 -0.0000 100.0 518.67 642.62 1593.59 1409.09 14.62 21.61 553.73 2388.08 9068.99 1.30 47.59 521.76 2388.15 8148.07 8.4525 0.03 395 2388 100.00 38.86 23.2195  
14074,70 83 0.0018 0.0002 100.0 518.67 642.47 1591.42 1404.39 14.62 21.61 553.75 2388.12 9066.64 1.30 47.49 520.93 2388.09 8145.22 8.4526 0.03 392 2388 100.00 38.75 23.3757  
14075,70 84 0.0019 0.0003 100.0 518.67 642.34 1591.66 1418.72 14.62 21.61 553.73 2388.13 9065.54 1.30 47.58 521.27 2388.09 8142.82 8.4470 0.03 394 2388 100.00 38.90 23.2996  
14076,70 85 -0.0019 -0.0004 100.0 518.67 642.58 1596.02 1409.61 14.62 21.61 553.75 2388.09 9065.44 1.30 47.40 521.36 2388.10 8141.18 8.4337 0.03 393 2388 100.00 38.83 23.1555  
14077,70 86 0.0036 -0.0005 100.0 518.67 642.90 1591.51 1406.46 14.62 21.61 554.17 2388.10 9067.45 1.30 47.55 522.03 2388.06 8149.94 8.4317 0.03 393 2388 100.00 38.79 23.2292  
14078,70 87 0.0005 -0.0004 100.0 518.67 643.03 1583.76 1408.78 14.62 21.61 553.51 2388.11 9066.74 1.30 47.72 520.96 2388.09 8147.74 8.4573 0.03 392 2388 100.00 38.81 23.3173  
